external_id,numero_partido,fecha,hora,categoria,tira,equipo,rival,localia,espacio,direccion,venue,status_label
276521,53142,2026-09-11,21:30,Superiores,Tercera,Superiores ECHAGÜE,PIEDAD,Local,Cancha 1,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
277194,57439,2026-09-17,21:30,Superiores,Septima,Superiores ECHAGÜE B,CGBEL,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
276525,53146,2026-09-18,21:30,Superiores,Tercera,Superiores ECHAGÜE,LIM,Visitante,,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",LIM #1,Programado
239072,741288,2026-09-19,10:00,Sub 11,Nivel D,Sub 11 ECHAGÜE,HURACAN,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
239600,742288,2026-09-19,11:00,Sub 12,Nivel D,Sub 12 ECHAGÜE,HURACAN,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
240128,743288,2026-09-19,12:00,Sub 13,Nivel D,Sub 13 ECHAGÜE,HURACAN,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
240656,744288,2026-09-19,13:15,Sub 14,Nivel D,Sub 14 ECHAGÜE,HURACAN,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
241052,745288,2026-09-19,14:30,Sub 15,Nivel D,Sub 15 ECHAGÜE,HURACAN,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
241712,746288,2026-09-19,15:45,Sub 16,Nivel D,Sub 16 ECHAGÜE,HURACAN,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
242240,748288,2026-09-19,17:00,Sub 18,Nivel D,Sub 18 ECHAGÜE,HURACAN,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
242768,749288,2026-09-19,18:30,Sub 21,Nivel D,Sub 21 ECHAGÜE,HURACAN,Local,Cancha 2,"CANCHA ECHAGÜE Y SECRETARIA: Portela 836, Capital Federal",ECHAGÜE #1,Programado
